bank_id,reference,merchant,amount,date
B0000,RZP-TXN-1000,Kirana Mart,28828.29,2026-08-24
B0002,RZP-TXN-1002,NovaFit Gear,24609.69,2026-08-14
B0003,RZP-TXN-1003,UrbanThreads,4352.23,2026-08-17
B0004,RZP-TXN-1004,NovaFit Gear,25321.84,2026-08-14
B0005,RZP-TXN-1005,Kirana Mart,26578.57,2026-08-25
B0006,RZP-TXN-1006,PixelWorks Studio,31461.55,2026-08-09
B0007,RZP-TXN-1007,PixelWorks Studio,43081.01,2026-08-04
B0008,RZP-TXN-1008,PixelWorks Studio,4487.73,2026-08-20
B0009,RZP-TXN-1009,GreenLeaf Foods,2098.75,2026-08-18
B0010,RZP-TXN-1010,Kirana Mart,41514.95,2026-08-18
B0011,RZP-TXN-1011,PixelWorks Studio,28344.5,2026-08-19
B0012,RZP-TXN-1012,UrbanThreads,3269.55,2026-08-25
B0013,RZP-TXN-1013,UrbanThreads,3655.83,2026-08-04
B0014,RZP-TXN-1014,UrbanThreads,36744.74,2026-08-12
B0015,RZP-TXN-1015,Kirana Mart,31626.64,2026-08-20
B0016,RZP-TXN-1016,UrbanThreads,24106.17,2026-08-08
B0018,RZP-TXN-1018,Kirana Mart,37951.91,2026-08-08
B0019,RZP-TXN-1019,GreenLeaf Foods,36256.3,2026-08-09
B0020,RZP-TXN-1020,NovaFit Gear,40218.19,2026-08-23
B0021,RZP-TXN-1021,GreenLeaf Foods,17894.09,2026-08-05
B0022,RZP-TXN-1022,NovaFit Gear,11211.24,2026-08-18
B0023,RZP-TXN-1023,NovaFit Gear,25710.17,2026-08-13
B0025,RZP-TXN-1025,UrbanThreads,38770.47,2026-08-21
B0026,RZP-TXN-1026,NovaFit Gear,30026.78,2026-08-03
B0027,RZP-TXN-1027,PixelWorks Studio,21134.23,2026-08-18
B0028,RZP-TXN-1028,NovaFit Gear,32474.37,2026-08-25
B0029,RZP-TXN-1029,Kirana Mart,28332.57,2026-08-10
B0030,RZP-TXN-1030,PixelWorks Studio,42928.64,2026-08-17
B0031,RZP-TXN-1031,Kirana Mart,22919.52,2026-08-21
B0032,RZP-TXN-1032,NovaFit Gear,28806.88,2026-08-07
B0033,TXN1033,NovaFit Gear,34348.61,2026-08-25
B0034,RZP-TXN-1034,NovaFit Gear,41344.43,2026-08-12
B0035,RZP-TXN-1035,PixelWorks Studio,41820.07,2026-08-08
B0037,RZP-TXN-1037,NovaFit Gear,36748.64,2026-08-25
B0038,RZP-TXN-1038,NovaFit Gear,29739.82,2026-08-06
B0039,TXN1039,GreenLeaf Foods,39278.62,2026-08-07
B0040,RZP-TXN-1040,UrbanThreads,33174.7,2026-08-23
B0041,RZP-TXN-1041,GreenLeaf Foods,29297.03,2026-08-18
B0042,RZP-TXN-1042,PixelWorks Studio,10227.68,2026-08-02
B0044,RZP-TXN-1044,Kirana Mart,2768.13,2026-08-02
B0045,RZP-TXN-1045,GreenLeaf Foods,10824.51,2026-08-10
B0046,RZP-TXN-1046,NovaFit Gear,42107.81,2026-08-21
B0047,RZP-TXN-1047,UrbanThreads,36366.24,2026-08-04
B0048,RZP-TXN-1048,GreenLeaf Foods,19482.65,2026-08-17
B0049,RZP-TXN-1049,Kirana Mart,2532.13,2026-08-02
B0050,RZP-TXN-1050,UrbanThreads,38796.01,2026-08-07
B0051,RZP-TXN-1051,GreenLeaf Foods,20270.32,2026-08-06
B0052,RZP-TXN-1052,Kirana Mart,11353.82,2026-08-15
B0053,RZP-TXN-1053,Kirana Mart,38540.12,2026-08-02
B0054,TXN1054,Kirana Mart,24395.37,2026-08-03
B0055,RZP-TXN-1055,UrbanThreads,38214.0,2026-08-15
B0056,RZP-TXN-1056,Kirana Mart,37962.05,2026-08-06
B0057,RZP-TXN-1057,GreenLeaf Foods,11748.39,2026-08-10
B0059,TXN1059,PixelWorks Studio,7092.64,2026-08-07
