reference,true_class
RZP-TXN-1000,EXACT_MATCH
RZP-TXN-1001,MISSING_IN_BANK
RZP-TXN-1002,EXACT_MATCH
RZP-TXN-1003,DUPLICATE_LEDGER
RZP-TXN-1004,EXACT_MATCH
RZP-TXN-1005,MISSING_IN_LEDGER
RZP-TXN-1006,EXACT_MATCH
RZP-TXN-1007,EXACT_MATCH
RZP-TXN-1008,EXACT_MATCH
RZP-TXN-1009,EXACT_MATCH
RZP-TXN-1010,EXACT_MATCH
RZP-TXN-1011,EXACT_MATCH
RZP-TXN-1012,EXACT_MATCH
RZP-TXN-1013,FEE_DEDUCTED
RZP-TXN-1014,FEE_DEDUCTED
RZP-TXN-1015,DUPLICATE_LEDGER
RZP-TXN-1016,TIMING_LAG
RZP-TXN-1017,MISSING_IN_BANK
RZP-TXN-1018,MISSING_IN_LEDGER
RZP-TXN-1019,EXACT_MATCH
RZP-TXN-1020,FEE_DEDUCTED
RZP-TXN-1021,EXACT_MATCH
RZP-TXN-1022,EXACT_MATCH
RZP-TXN-1023,FEE_DEDUCTED
RZP-TXN-1024,MISSING_IN_BANK
RZP-TXN-1025,EXACT_MATCH
RZP-TXN-1026,FEE_DEDUCTED
RZP-TXN-1027,AMOUNT_MISMATCH
RZP-TXN-1028,EXACT_MATCH
RZP-TXN-1029,FEE_DEDUCTED
RZP-TXN-1030,MISSING_IN_LEDGER
RZP-TXN-1031,EXACT_MATCH
RZP-TXN-1032,EXACT_MATCH
RZP-TXN-1033,REFERENCE_TYPO
RZP-TXN-1034,TIMING_LAG
RZP-TXN-1035,EXACT_MATCH
RZP-TXN-1036,MISSING_IN_BANK
RZP-TXN-1037,EXACT_MATCH
RZP-TXN-1038,EXACT_MATCH
RZP-TXN-1039,REFERENCE_TYPO
RZP-TXN-1040,FEE_DEDUCTED
RZP-TXN-1041,TIMING_LAG
RZP-TXN-1042,TIMING_LAG
RZP-TXN-1043,MISSING_IN_BANK
RZP-TXN-1044,AMOUNT_MISMATCH
RZP-TXN-1045,TIMING_LAG
RZP-TXN-1046,TIMING_LAG
RZP-TXN-1047,EXACT_MATCH
RZP-TXN-1048,TIMING_LAG
RZP-TXN-1049,FEE_DEDUCTED
RZP-TXN-1050,EXACT_MATCH
RZP-TXN-1051,EXACT_MATCH
RZP-TXN-1052,MISSING_IN_LEDGER
RZP-TXN-1053,DUPLICATE_LEDGER
RZP-TXN-1054,REFERENCE_TYPO
RZP-TXN-1055,TIMING_LAG
RZP-TXN-1056,FEE_DEDUCTED
RZP-TXN-1057,FEE_DEDUCTED
RZP-TXN-1058,MISSING_IN_BANK
RZP-TXN-1059,REFERENCE_TYPO
