ledger_id,reference,merchant,amount,date
L0000,RZP-TXN-1000,Kirana Mart,28828.29,2026-08-24
L0001,RZP-TXN-1001,Kirana Mart,10161.0,2026-08-22
L0002,RZP-TXN-1002,NovaFit Gear,24609.69,2026-08-14
L0003,RZP-TXN-1003,UrbanThreads,4352.23,2026-08-17
L0003D,RZP-TXN-1003,UrbanThreads,4352.23,2026-08-17
L0004,RZP-TXN-1004,NovaFit Gear,25321.84,2026-08-14
L0006,RZP-TXN-1006,PixelWorks Studio,31461.55,2026-08-09
L0007,RZP-TXN-1007,PixelWorks Studio,43081.01,2026-08-04
L0008,RZP-TXN-1008,PixelWorks Studio,4487.73,2026-08-20
L0009,RZP-TXN-1009,GreenLeaf Foods,2098.75,2026-08-18
L0010,RZP-TXN-1010,Kirana Mart,41514.95,2026-08-18
L0011,RZP-TXN-1011,PixelWorks Studio,28344.5,2026-08-19
L0012,RZP-TXN-1012,UrbanThreads,3269.55,2026-08-25
L0013,RZP-TXN-1013,UrbanThreads,3728.67,2026-08-04
L0014,RZP-TXN-1014,UrbanThreads,37559.85,2026-08-12
L0015,RZP-TXN-1015,Kirana Mart,31626.64,2026-08-20
L0015D,RZP-TXN-1015,Kirana Mart,31626.64,2026-08-20
L0016,RZP-TXN-1016,UrbanThreads,24106.17,2026-08-06
L0017,RZP-TXN-1017,NovaFit Gear,44530.12,2026-08-08
L0019,RZP-TXN-1019,GreenLeaf Foods,36256.3,2026-08-09
L0020,RZP-TXN-1020,NovaFit Gear,41104.16,2026-08-23
L0021,RZP-TXN-1021,GreenLeaf Foods,17894.09,2026-08-05
L0022,RZP-TXN-1022,NovaFit Gear,11211.24,2026-08-18
L0023,RZP-TXN-1023,NovaFit Gear,26368.68,2026-08-13
L0024,RZP-TXN-1024,GreenLeaf Foods,6354.18,2026-08-03
L0025,RZP-TXN-1025,UrbanThreads,38770.47,2026-08-21
L0026,RZP-TXN-1026,NovaFit Gear,30669.58,2026-08-03
L0027,RZP-TXN-1027,PixelWorks Studio,21142.04,2026-08-18
L0028,RZP-TXN-1028,NovaFit Gear,32474.37,2026-08-25
L0029,RZP-TXN-1029,Kirana Mart,28897.14,2026-08-10
L0031,RZP-TXN-1031,Kirana Mart,22919.52,2026-08-21
L0032,RZP-TXN-1032,NovaFit Gear,28806.88,2026-08-07
L0033,RZP-TXN-1033,NovaFit Gear,34348.61,2026-08-25
L0034,RZP-TXN-1034,NovaFit Gear,41344.43,2026-08-11
L0035,RZP-TXN-1035,PixelWorks Studio,41820.07,2026-08-08
L0036,RZP-TXN-1036,Kirana Mart,39528.73,2026-08-03
L0037,RZP-TXN-1037,NovaFit Gear,36748.64,2026-08-25
L0038,RZP-TXN-1038,NovaFit Gear,29739.82,2026-08-06
L0039,RZP-TXN-1039,GreenLeaf Foods,39278.62,2026-08-07
L0040,RZP-TXN-1040,UrbanThreads,34023.64,2026-08-23
L0041,RZP-TXN-1041,GreenLeaf Foods,29297.03,2026-08-17
L0042,RZP-TXN-1042,PixelWorks Studio,10227.68,2026-08-01
L0043,RZP-TXN-1043,Kirana Mart,26541.54,2026-08-03
L0044,RZP-TXN-1044,Kirana Mart,2790.49,2026-08-02
L0045,RZP-TXN-1045,GreenLeaf Foods,10824.51,2026-08-07
L0046,RZP-TXN-1046,NovaFit Gear,42107.81,2026-08-19
L0047,RZP-TXN-1047,UrbanThreads,36366.24,2026-08-04
L0048,RZP-TXN-1048,GreenLeaf Foods,19482.65,2026-08-14
L0049,RZP-TXN-1049,Kirana Mart,2579.58,2026-08-02
L0050,RZP-TXN-1050,UrbanThreads,38796.01,2026-08-07
L0051,RZP-TXN-1051,GreenLeaf Foods,20270.32,2026-08-06
L0053,RZP-TXN-1053,Kirana Mart,38540.12,2026-08-02
L0053D,RZP-TXN-1053,Kirana Mart,38540.12,2026-08-02
L0054,RZP-TXN-1054,Kirana Mart,24395.37,2026-08-03
L0055,RZP-TXN-1055,UrbanThreads,38214.0,2026-08-14
L0056,RZP-TXN-1056,Kirana Mart,38929.57,2026-08-06
L0057,RZP-TXN-1057,GreenLeaf Foods,12044.36,2026-08-10
L0058,RZP-TXN-1058,NovaFit Gear,44794.71,2026-08-22
L0059,RZP-TXN-1059,PixelWorks Studio,7092.64,2026-08-07
